                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3689,                0.33888,                0.35957,                0.27882,                0.14984,                0.07023,                0.03379,                  3.147,                0.69079,                0.14353,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.5189,                0.54888,                0.21036,                0.40428,                0.21028,                0.19545,                0.10709,                 3.0061,                0.60495,                 0.1167,                 0.0001,                 0.0001,                 0.0001
                      3,                  3.407,                0.53005,                 0.1857,                0.44538,                0.24681,                0.23568,                0.13178,                 2.8496,                 0.6004,                0.10193,                 0.0001,                 0.0001,                 0.0001
                      4,                   3.33,                0.52814,                0.17368,                0.51774,                 0.2684,                0.26821,                0.15188,                 2.8572,                0.60035,                0.09496,                 0.0001,                 0.0001,                 0.0001
                      5,                 3.2696,                0.52757,                0.16348,                0.50409,                0.28628,                0.28398,                0.16314,                 2.7454,                0.59767,                0.09009,                 0.0001,                 0.0001,                 0.0001
                      6,                 3.2184,                0.52715,                0.15942,                0.46833,                0.30129,                0.30046,                 0.1736,                 2.7726,                 0.5965,                 0.0889,                 0.0001,                 0.0001,                 0.0001
                      7,                 3.1676,                0.52441,                0.15315,                0.48235,                0.31346,                0.31258,                0.18128,                 2.7752,                0.59461,                0.08702,                 0.0001,                 0.0001,                 0.0001
                      8,                 3.1538,                0.52212,                0.14806,                 0.4655,                 0.3265,                0.32317,                0.18867,                 2.7666,                0.59226,                0.08587,                 0.0001,                 0.0001,                 0.0001
                      9,                 3.1383,                0.52053,                0.14985,                0.46147,                0.33863,                0.33398,                0.19619,                 2.7411,                0.59115,                0.08359,                 0.0001,                 0.0001,                 0.0001
                     10,                 3.1249,                0.51936,                0.14773,                 0.4704,                0.34674,                0.34287,                0.20214,                 2.7021,                0.58931,                0.08201,                 0.0001,                 0.0001,                 0.0001
                     11,                 3.1046,                0.51631,                0.14441,                0.47482,                0.35553,                0.35258,                0.20825,                  2.693,                0.58771,                0.08073,                 0.0001,                 0.0001,                 0.0001
                     12,                 3.0773,                0.51829,                0.14193,                0.49707,                0.36515,                 0.3642,                0.21556,                  2.643,                 0.5859,                 0.0797,                 0.0001,                 0.0001,                 0.0001
                     13,                 3.0581,                0.51602,                0.13687,                0.50929,                 0.3705,                0.37369,                0.22125,                 2.6374,                0.58259,                0.07868,                 0.0001,                 0.0001,                 0.0001
                     14,                 3.0318,                0.51473,                0.13682,                0.51935,                0.37913,                0.38439,                0.22836,                 2.6588,                0.58039,                0.07736,                 0.0001,                 0.0001,                 0.0001
                     15,                 3.0604,                 0.5117,                0.13532,                0.52137,                0.38329,                0.39051,                0.23274,                 2.6535,                0.57846,                0.07674,                 0.0001,                 0.0001,                 0.0001
                     16,                 3.0158,                0.51409,                  0.132,                0.52293,                0.39012,                 0.3978,                0.23757,                 2.6343,                0.57639,                0.07609,                 0.0001,                 0.0001,                 0.0001
                     17,                 3.0137,                0.51368,                0.13572,                0.53645,                0.39307,                0.40478,                0.24257,                 2.6746,                0.57419,                0.07559,                 0.0001,                 0.0001,                 0.0001
                     18,                 3.0328,                0.50884,                0.13518,                0.54211,                 0.3983,                 0.4097,                 0.2451,                 2.6413,                0.57258,                0.07522,                 0.0001,                 0.0001,                 0.0001
                     19,                 3.0078,                0.51095,                0.13369,                0.54656,                0.39667,                 0.4106,                 0.2453,                 2.6815,                0.57227,                0.07444,                 0.0001,                 0.0001,                 0.0001
                     20,                 2.9844,                0.51297,                0.13147,                0.55088,                0.40325,                0.41568,                0.24827,                 2.6346,                 0.5722,                0.07345,                 0.0001,                 0.0001,                 0.0001
